Row,landmarkErrorDistSum,landmarkErrorDistMean,pointErrorDistTibMean,pointErrorDistFibMean,pointErrorDistTibMax,pointErrorDistFibMax,jaccardSimilarityTibia,jaccardSimilarityFibula,jaccardSimilarityAll
C01RTF.stl,29.7752130669656,3.30835700744062,4.2396124700057,7.20260704076183,9.25605400006267,14.3889853231947,0.728578907567913,0.282246683601468,0.598302920459694
C02RTF.stl,35.488055497677,3.94311727751967,4.38172604250377,7.69129756345168,10.585786365737,16.8166255021377,0.672882805816938,0.410198116271517,0.604608956231798
C03RTF.stl,31.1797283033808,3.4644142559312,4.16314250295396,6.5215960115133,10.8848471379988,10.4934715867628,0.71255562440151,0.28452602896888,0.591846639165251
C04RTF.stl,33.802267912275,3.75580754580833,5.34199564092066,9.83988315615285,13.086413392102,22.7676739945492,0.701501761325011,0.254935756816045,0.575189469485441
C05RTF.stl,36.5668650970116,4.06298501077907,4.81966105895249,6.99080572989802,9.53079011470911,13.4239920325998,0.675822553015536,0.219359642591214,0.546185078666892
C06RTF.stl,48.4504329885134,5.38338144316815,4.58592502886151,5.30724487208864,11.4828270795334,11.5487674439849,0.698936058148109,0.495096582466568,0.645590293980401
C07RTF.stl,32.4186706211656,3.60207451346285,5.68475606559451,10.637176113698,11.7434475006358,20.4843109545993,0.622127917550773,0.255873833279691,0.521907613721432
C08RTF.stl,30.9424823961415,3.43805359957128,6.75940391661581,6.12680991375689,11.77421919734,10.865585192071,0.722253489419181,0.373370148795828,0.62860789722897
C09RTF.stl,22.107365969937,2.45637399665967,4.44013323949777,4.73857422862274,9.93657311248957,9.53713789090745,0.652212277826799,0.447093343113882,0.599746704817299
C10RTF.stl,41.8162287516626,4.64624763907363,4.45697205766986,7.82389981832279,10.707116224881,16.8859391224264,0.705659718178642,0.431660353535354,0.631816248404934
C11RTF.stl,35.8059472633352,3.97843858481502,6.34270386820532,12.4101090791882,13.5294259645946,28.4707920990337,0.65619972974712,0.215204678362573,0.533587289789092
C12RTF.stl,36.7607520808409,4.08452800898232,6.41027243317389,11.8336093553861,13.9002874946728,21.5000236251123,0.538720951621804,0.170504044803983,0.434621981791793
C13RTF.stl,34.0396805052461,3.78218672280512,3.79478947685359,9.43696142548746,8.24808372000988,21.7055101737293,0.70079534662868,0.20988885722428,0.556440124025811
C14RTF.stl,42.943953863017,4.77155042922411,7.84491450883495,6.40991477768808,15.2536732880079,12.7093512859604,0.693733799166009,0.365660803614652,0.60882094975567
C15RTF.stl,30.416775774733,3.37964175274811,4.44750278164602,13.3116993339367,9.58261110172737,27.2029813091442,0.625008065036454,0.375377509326701,0.558500567966679
C16RTF.stl,41.5856487196164,4.62062763551293,5.14926686726519,10.0095954445825,12.2843872891501,22.3422817875271,0.591173265528514,0.165038781959207,0.464821124361158
C17RTF.stl,23.3346895671317,2.59274328523686,4.87939869844382,5.24509695673355,12.3770075491653,10.4658145186004,0.686479722427621,0.433965608934586,0.625139953492378
C18RTF.stl,38.83938356228,4.31548706247556,7.28909452192426,13.9563313635061,12.8568962975446,24.1780080137354,0.640312557681659,0.227147661265668,0.521737223075236
C19RTF.stl,42.258081220383,4.69534235782033,10.0129651999755,10.5465600903608,16.6013334082594,20.3772713489142,0.628563101136695,0.348532064949975,0.555135042146912
