Row,pointErrorDistMean,pointErrorDistMax,jaccardSimilarity
case-102480,1.75629525584708,4.30358974558413,0.772237356389909
case-102924,1.67019944005932,4.42379659007235,0.783188639107687
case-103559,1.36160140560191,3.59234298406607,0.776729559748428
case-103862,1.49528746162669,4.12808796194775,0.766330130154482
case-107215,1.88162467099406,5.08312403759927,0.766882008776207
case-107813,1.73235995225872,4.8137979081435,0.774927596193628
case-108421,1.83918237273052,4.93445747676348,0.766035247572234
case-112802,1.69000173081757,4.10016498066077,0.775791895239781
case-113033,1.71114137247448,4.7945178203534,0.767287557828098
case-116070,1.82021127820888,4.89175008797328,0.780541956051463
case-132433,1.62964522159157,4.493902778486,0.769734513274336
case-132592,1.6005547471345,4.4251457415942,0.778905253392091
case-134434,2.16685724705112,5.61693392740047,0.773149535510938
case-135418,1.57685172993738,4.07747985207833,0.76905951019917
case-135881,1.57832701075982,4.04742875769459,0.772374577977848
case-136283,1.63973566737396,4.00104962517623,0.770528345081029
case-140368,1.52950788698634,4.02500879602241,0.769755681472004
case-140694,1.8365682628926,4.95288916735785,0.77898487237895
case-141682,1.63885248147461,4.13243305412378,0.773921873133437
case-144977,1.99746989231881,4.83638263996835,0.783797612279704
case-145250,1.92566860663553,6.37815407487217,0.770723414233791
case-146511,1.77090099795639,4.55419981798693,0.777110914974993
case-147211,1.52376910840243,3.93997420946942,0.773117588644197
case-149327,1.77802190907316,4.44231381790748,0.769179734620024
case-170206,1.46410042532877,4.20003541343871,0.762259466170081
case-174615,2.87471915834975,6.93739075985046,0.755348294957738
case-176087,1.79755408059924,4.55576346367229,0.782101844333604
case-181140,1.98900147432619,5.49839795762529,0.777203897171029
case-182401,1.71421517819699,4.32404827592554,0.781417340777031
case-184171,1.75613165512673,6.34750278315355,0.777298431761208
