Row,pointErrorDistMean,pointErrorDistMax,jaccardSimilarity
case-102480,1.41440905161354,3.95249870914847,0.774206937444411
case-102924,1.2612139995946,4.24350686109926,0.765233192004846
case-103559,1.80970352170189,9.90502184189823,0.756833818880555
case-103862,2.07998549034952,6.21509174893033,0.748348231636222
case-107215,2.03086799824571,8.03563086288741,0.74283858395583
case-107813,2.29405207337413,6.05688773789331,0.78333615962919
case-108421,2.03353994932377,5.43120716758108,0.756730056804149
case-112802,2.060155279754,9.64466661332808,0.76809667673716
case-113033,2.39789884332865,5.69393348154429,0.762633472277737
case-116070,2.07485251651107,6.66995400750475,0.774118170690998
case-132433,2.09119317500682,6.79970629106414,0.760451909134848
case-132592,2.239203132118,7.19443326504753,0.760712093308778
case-134434,2.07483489659809,6.17932572397899,0.767743442958117
case-135418,1.86979659689289,5.67446024914072,0.765557163531114
case-135881,1.67845254156612,6.20750459315264,0.768166929515953
case-136283,1.96855800333137,5.63398884920373,0.767768005704778
case-140368,1.71793865211928,5.20948915091558,0.748381012260296
case-140694,1.5290369095038,4.86450463233737,0.758296767814103
case-141682,1.90663595104709,6.54036244505907,0.748564793910856
case-144977,1.63212076288661,5.47397619298463,0.77787986677386
case-145250,1.96043216139104,6.04599233886591,0.758164060159386
case-146511,1.94772615234277,6.45533866629826,0.77793787101608
case-147211,2.04419565460873,5.47420921653734,0.772332108057646
case-149327,2.16075540026188,8.96661038864513,0.747855039057498
case-170206,1.95402126987134,5.68529962642212,0.743935488135369
case-174615,2.47342411622888,6.55000887806458,0.754163456409649
case-176087,1.86361325822231,4.59800622232681,0.770986097260515
case-181140,2.15697739022296,5.04762844148781,0.768349026258845
case-182401,1.86980817660805,5.43308431079191,0.760861716211337
case-184171,2.28375723562272,6.0389299345467,0.764688549708292
