Row,Estimate,Standard Error,t-statistic,p-value
Intercept,-1.81617466075378e-14,8.32995420801416,-2.18029369117835e-15,0.999999999999998
Tibia Shape Model PC1,0.00252683717434502,0.0157307819931262,0.160630105702893,0.873729154534849
Tibia Shape Model PC2,-0.552013339458624,0.0984970639694921,-5.6043633912743,9.08154264524042e-06
Tibia Shape Model PC3,0.574078862234056,0.131283229969709,4.37282707293621,0.000204676532030107
Tibia Shape Model PC4,0.163143327868977,0.153205063502599,1.06486903330195,0.297531822263219
Tibia Shape Model PC5,0.292330505890378,0.154701259980717,1.88964528101979,0.0709444193117612
