Row,Estimate,Standard Error,t-statistic,p-value
Intercept,-4.21611974817843e-14,9.71608090442932,-4.33932136799767e-15,0.999999999999997
Tibia Shape Model PC1,-0.0072655199214052,0.0183484262600276,-0.395975099904524,0.695621755510603
Tibia Shape Model PC2,-0.136737138788597,0.114887239290657,-1.19018560836562,0.245613770995944
Tibia Shape Model PC3,-0.466065694134996,0.15312911114845,-3.04361261317042,0.00559359173589614
Tibia Shape Model PC4,-0.1809732349909,0.178698796510474,-1.01272777727013,0.321291886191381
Tibia Shape Model PC5,0.477966417336947,0.180443964090906,2.64883571886146,0.0140574953921211
