Row,Estimate,Standard Error,t-statistic,p-value
Intercept,5.18907045929653e-15,23.7747081353908,2.18260111953683e-16,1
Tibia Shape Model PC1,0.00167360427303384,0.044897575819591,0.0372760498196778,0.970573229916521
Tibia Shape Model PC2,1.24824334260021,0.281122667614983,4.44020879991709,0.000172441639530495
Tibia Shape Model PC3,0.537294841440747,0.374698395412347,1.43393953115136,0.16449094673739
Tibia Shape Model PC4,0.706235521776652,0.437265989545776,1.61511651640293,0.11935704562227
Tibia Shape Model PC5,-0.22721051479948,0.441536317292143,-0.514590772946874,0.61154567432071
