Row,pointErrorDistMean,pointErrorDistMax,jaccardSimilarity
case-102480,1.51936427237058,4.13316892116451,0.750939466654593
case-102924,1.78022082048557,5.14009752661531,0.730456314113902
case-103559,1.76650836467732,5.43886311302631,0.743946064942212
case-103862,1.76993542633154,5.24501733888813,0.72018062160734
case-107215,2.14562769633393,7.11078342927755,0.726751592356688
case-107813,1.77081347849619,5.23904455098052,0.756553964404996
case-108421,2.19476583414348,6.04123835714897,0.722125912408759
case-112802,1.86290139114796,6.49236553374247,0.738223480007303
case-113033,1.73109560617972,5.12198970771753,0.749343408745335
case-116070,1.94509927444687,7.55272725552777,0.758400901877466
case-132433,1.77750982345018,4.73974592008658,0.776424611469599
case-132592,2.05600089930426,5.87566877563137,0.795365168539326
case-134434,1.95680429906425,5.58106918376194,0.743083180619497
case-135418,1.93250139839893,5.4454257614341,0.729753768373748
case-135881,1.65988820157212,4.48277931960812,0.754504714779199
case-136283,1.81215236070151,5.44743220848207,0.763696734919757
case-140368,1.60266721161247,4.56622391913718,0.770584867856121
case-140694,1.57677308996319,4.08556698095318,0.75495182012848
case-141682,1.65512727230717,4.28840606503248,0.718671292116143
case-144977,2.05379111671268,6.17417520105672,0.776026743075454
case-145250,2.39338896917668,8.26275696277114,0.7493305496301
case-146511,2.02106981393375,6.24058077914662,0.76256746509657
case-147211,1.84468125825767,5.96036717210499,0.747416507739389
case-149327,2.0412049188699,6.18249385346964,0.722972032837067
case-170206,1.64085027267049,4.94704081997174,0.716596764529658
case-174615,2.3940100184056,6.12526198757649,0.745962270757649
case-176087,1.97452957643927,5.373351572073,0.767741935483871
case-181140,2.15150687791814,6.15070570484215,0.765723339641741
case-182401,1.88493137210027,6.50588260504028,0.778015734265734
case-184171,1.75418528432585,5.35437516987212,0.804616573305003
