LC,-152.281,27.9012,-460.509
MC,-89.3978,-10.7307,-461.392
MM,-96.0921,-8.65925,-787.109
LM,-135.165,43.4827,-798.257
FH,-148.138,52.4532,-473.21
TT,-140.208,-13.1747,-502.836
T1,-139.064,-11.4074,-477.982
T2,-140.584,-13.0322,-497.442
T3,-137.752,-10.4466,-524.739
T4,-135.604,-8.08148,-543.67
T5,-133.645,-5.23337,-570.695
T6,-132.169,-4.79805,-596.449
T7,-132.018,-3.04451,-626.718
T8,-129.99,-0.101923,-655.715
T9,-128.061,3.53796,-689.43
T10,-126.823,3.54854,-713.705
T11,-126.226,4.32841,-737.817
T12,-126.164,0.786233,-761.899
F1,-153.297,52.8563,-484.039
F2,-144.23,52.3712,-514.578
F3,-139.464,51.4554,-550.816
F4,-136.108,52.157,-583.81
F5,-133.175,51.6955,-613.355
F6,-130.341,51.3829,-645.431
F7,-128.619,48.967,-684.975
F8,-129.445,45.1183,-724.469
F9,-134.083,41.3801,-762.947
F10,-135.906,41.9977,-790.603
