LC,-149.18871,41.915115,-458.62448
MC,-87.055298,18.082645,-462.91873
MM,-117.84783,5.534133,-773.0274
LM,-158.73874,41.613625,-779.20642
FH,-155.89754,56.375065,-471.63535
TT,-134.22633,4.890605,-479.98227
T1,-131.82053,8.918088,-471.01913
T2,-132.35698,3.7472687,-489.67487
T3,-133.5105,5.9065533,-506.14709
T4,-132.92642,7.0250015,-526.31946
T5,-135.14023,7.0596414,-543.67719
T6,-135.46078,7.1521716,-566.85657
T7,-136.1198,8.3768158,-596.32202
T8,-137.21754,11.169597,-623.19147
T9,-137.71828,13.055739,-658.48224
T10,-137.04228,11.889047,-695.78455
T11,-138.96368,9.6824827,-724.29474
T12,-142.9895,7.4756107,-751.43457
F1,-152.35965,59.690716,-500.00931
F2,-147.93782,59.333378,-525.63062
F3,-147.72818,57.620884,-554.31207
F4,-149.25949,56.933983,-581.35406
F5,-149.80893,55.94051,-608.56946
F6,-149.11569,53.386074,-642.43121
F7,-148.25211,51.975357,-669.00848
F8,-151.34265,47.596966,-696.53827
F9,-153.04329,43.744305,-731.71954
F10,-156.47404,40.585529,-762.91541
