LC,-146.57646,-1.9961572,-547.3313
MC,-77.08461,-9.6971598,-547.55756
MM,-75.073616,-13.897232,-940.73669
LM,-132.03354,10.251524,-947.85138
FH,-155.63193,8.4191723,-573.99823
TT,-121.98728,-33.655094,-571.13483
T1,-120.62155,-31.661221,-564.03082
T2,-120.50481,-35.695847,-585.11536
T3,-114.94819,-29.826645,-620.90479
T4,-112.74393,-27.708752,-655.62512
T5,-108.66904,-28.614689,-691.01654
T6,-109.16589,-26.53882,-733.66901
T7,-108.34897,-23.962389,-764.26849
T8,-108.1152,-21.28653,-796.52161
T9,-108.009,-16.324337,-836.31976
T10,-108.90184,-13.13794,-873.17743
T11,-107.02496,-15.141797,-898.50372
T12,-106.09692,-20.941858,-920.10565
F1,-147.66338,13.153151,-610.12238
F2,-142.41614,14.388927,-642.23309
F3,-139.30061,15.067167,-677.97498
F4,-137.54221,14.877719,-711.70282
F5,-136.69353,16.352539,-738.59052
F6,-136.33244,16.901415,-769.18634
F7,-132.75655,16.976847,-804.89844
F8,-130.34505,15.979554,-833.48926
F9,-128.4212,14.150887,-875.68518
F10,-126.25124,9.3182993,-921.51489
